,,,,consumers down rows ?,NO3,pelagic NH4,benthic NH4,P1: large phytoplankton,P2: small phytoplankton,MZ: micro-zooplankton,Z1ai: copepods (large >= 0.025mg C),Z1aii: copepods (small < 0.025mg C),Z1b: small invertebrate larvae,Z1d: pteropods,Z2a: pelagic amphipods,Z2b: pelagic shrimp (Sergestidae Panaeidae),Z2c: other macro-zooplankton,Z2g: small jellyfish (net-feeders),Z2e: small jellyfish (carnivores),Z2f: large jellyfish,Z2g: pyrosomes,Z3a: E. pacifica (adult & juveniles),Z3b: T. spinifera (adult & juveniles),Ca: small cephalopod aggregate,Cb: cephalopod humboldt,PlnkF1a: smelt aggregate,PlnkF1b: shad,PlnkF1c: sardine,PlnkF1d: herring,PlnkF1e: anchovy,PlnkF1f: saury,PlnkF2a: coho yearling,PlnkF2bi: Chinook yearling Sp,PlnkF2bii: Chinook yearling Fa,PlnkF2biii: Chinook subyearling Fa early,PlnkF2biv: Chinook subyearling Fa late,PlnkF2bv: other Chinook yearling,PlnkF2bvi: other Chinook subyearling,PlnkF2c: other juvenile salmon,PlnkF3: mesopelagic fish aggregate,PlnkF4: planktivorous rockfish,PiscF1a: coho,PiscF1b: Chinook,PiscF1c: other salmon aggregate,PiscF2: shark aggregate,PiscF3a: jack mackerel,PiscF3b: Pacific mackerel,PiscF4: piscivorous rockfish,PiscF5: dogfish aggregate,PiscF6: hake,PiscF10: tuna aggregate,PiscF7: sablefish,PiscF8: Hexagrammidae (lingcod greenling),PiscF9: flatfish (water-column feeders),BnthF1: skates & rays,BnthF2: misc. small benthic fishes,BnthF3: benthivorous rockfish,BnthF4: Gadidae (cod haddock pollock),BnthF5: flatfish (benthic feeders),BnthF6: flatfish (small),BnthF7: grenadier,JuvF1: juvenile rockfish,JuvF2: juvenile fish (other),JuvF3: juvenile fish (chondrichthys),DepB1: infauna,DepB2a: Pandalus spp.,DepB2b: other epibenthic shrimp (Caridea),DepB3: mysids,DepB4: echinoderms,DepB5: benthic amphipods isopods and cumaceans,SspB2: bivalves,SspB3: misc. epifauna (suspension feeders),CrnB1: Dungeness crab,CrnB2: Tanner crab,CrnB3: misc. epifauna (carnivorous),SB1: sooty shearwaters,SB2: common murre,SB3: gulls & terns,SB4: alcids,SB5: large pelagic seabirds,SB6: other pelagic seabirds,SB7: coastal seabirds (divers),SB8: storm-petrels,PlnkMM1: gray whales,PlnkMM2: baleen whales,PiscMM1: small pinnipeds,PiscMM2a: sea lions,PiscMM2b: N elephant seals,PiscMM3: small toothed whales,PiscMM4: large toothed whales,PiscMM5a: other killer whales,PiscMM5b: Southern resident killer whales,Z1c: invertebrate eggs,Z2d: fish eggs,D1: pelagic detritus,D2: fishery offal,D3: benthic detritus,Fishery1: dredge,Fishery2: Hook & line,Fishery3: Other gear,Fishery4: Net,Fishery5: pot & trap,Fishery6: Trolling,Fishery7: Trawl (non-shrimp),Fishery8: Shrimp trawls,FshryR1: recreational fishery,"INPUT (use for initial consumption (""production"" in code)",
Z1aii: copepods (small < 0.025mg C),0.046977959,164.2584489,,Z1aii: copepods (small < 0.025mg C),0,0,0,104.4452482,15.05906795,44.75413284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.258449,
Z1b: small invertebrate larvae,0.021601359,13.74704487,,Z1b: small invertebrate larvae,0,0,0,8.587315869,1.414186064,3.745542939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.74704487,
Z1d: pteropods,0.009119325,0.112306652,,Z1d: pteropods,0,0,0,0.059944343,0.008162399,0.012918543,0.002500774,0.024076501,0.004382158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000321933,0,0,0,0,0,0,0,0,0,0,0,0.112306653,
Z2a: pelagic amphipods,0.003956878,0.128854591,,Z2a: pelagic amphipods,0,0,0,0.053680583,0.007309486,0.026516185,0.003024871,0.029122303,0.005300544,0.000123088,0,0,0,0.000174763,2.40063E-06,2.29411E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003357096,2.20934E-05,0.000198237,0,0,0,0,0,0,0,0,0,0,0,0.128854591,
Z2b: pelagic shrimp (Sergestidae Panaeidae),0.033602469,6.427126452,,Z2b: pelagic shrimp (Sergestidae Panaeidae),0,0,0,0.344366509,0.046891109,0.164082478,0.642333486,3.128971155,0.50741241,0.011783026,0.040069061,0,0.26847091,0.006010392,8.25619E-05,0.001183001,0,0.683447002,0.209160083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103270956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239201,0.030391315,0,0,0,0,0,0,0,0,0,0,0,0,6.427126456,
Z2c: other macro-zooplankton,0.066666667,14.54601547,,Z2c: other macro-zooplankton,0,0,0,4.508165038,0.613860117,1.780670241,0.492990434,4.74632367,0.863877263,0.020060785,0.043165771,0.316918743,0,0.006450817,8.86117E-05,0.001283824,0,0.556463265,0.17029835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112072613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226110739,0.065027831,0.022187379,0,0,0,0,0,0,0,0,0,0,0,14.54601549,
Z2g: small jellyfish (net-feeders),0.027598171,6.0861875,,Z2g: small jellyfish (net-feeders),0,0,0,3.652448639,0.49734039,0.962054405,0.074826442,0.720400418,0.131119911,0.003044838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044952454,0,0,0,0,0,0,0,0,0,0,0,6.086187497,
Z2e: small jellyfish (carnivores),0.016057721,0.048643576,,Z2e: small jellyfish (carnivores),0,0,0,0,0,0,0.002507058,0.024137001,0.00439317,0.000102017,0.000990947,0.007275434,0.006639548,0,0,0,0,0.001120518,0.00034292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763704,4.31002E-05,0.000328159,0,0,0,0,0,0,0,0,0,0,0,0.048643576,
Z2f: large jellyfish,0.035779708,0.188754858,,Z2f: large jellyfish,0,0,0,0,0,0,0.008003598,0.077055585,0.014024869,0.000325683,0.001952795,0.014337224,0.013084126,0.00967101,0.000132846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045980115,0.003621576,0.000565433,0,0,0,0,0,0,0,0,0,0,0,0.188754858,
Z2g: pyrosomes,0.038235272,89.39559025,,Z2g: pyrosomes,0,0,0,76.24682355,8.050629955,5.098136794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3955903,
